File Name	File Extension	File Size (KB)	Creation Date	File Path
ahmet.Guten Morgan	.wav	430.04	2025-01-06 19:22:38	softwareLogin\\media\ahmet\ahmet.Guten Morgan.wav
ahmet.ismim militan	.wav	430.04	2025-01-06 19:22:11	softwareLogin\\media\ahmet\ahmet.ismim militan.wav
ahmet.Merve	.wav	430.04	2025-01-06 19:24:26	softwareLogin\\media\ahmet\ahmet.Merve.wav
recorded_audio_20250106_192409	.wav	430.04	2025-01-06 19:24:15	softwareLogin\\media\ahmet\recorded_audio_20250106_192409.wav
cemre.Air Conditioning	.opus	5.1	2025-01-06 03:53:24	softwareLogin\\media\cemre\ingilizce\cemre.Air Conditioning.opus
cemre.brightness	.opus	4.63	2025-01-06 03:53:24	softwareLogin\\media\cemre\ingilizce\cemre.brightness.opus
cemre.heating	.opus	4.33	2025-01-06 03:53:24	softwareLogin\\media\cemre\ingilizce\cemre.heating.opus
cemre.light	.opus	4.07	2025-01-06 03:53:24	softwareLogin\\media\cemre\ingilizce\cemre.light.opus
cemre.multimedia	.opus	4.11	2025-01-06 03:53:24	softwareLogin\\media\cemre\ingilizce\cemre.multimedia.opus
cemre.temperature	.opus	4.27	2025-01-06 03:53:24	softwareLogin\\media\cemre\ingilizce\cemre.temperature.opus
cemre.the alarm	.opus	4.04	2025-01-06 03:53:24	softwareLogin\\media\cemre\ingilizce\cemre.the alarm.opus
cemre.the fan	.opus	3.24	2025-01-06 03:53:24	softwareLogin\\media\cemre\ingilizce\cemre.the fan.opus
cemre.the lighting	.opus	3.56	2025-01-06 03:53:24	softwareLogin\\media\cemre\ingilizce\cemre.the lighting.opus
cemre.the room	.opus	3.45	2025-01-06 03:53:24	softwareLogin\\media\cemre\ingilizce\cemre.the room.opus
cemre.alarmı	.opus	3.51	2025-01-06 03:53:24	softwareLogin\\media\cemre\türkçe\cemre.alarmı.opus
cemre.aydınlatmayı	.opus	4.14	2025-01-06 03:53:24	softwareLogin\\media\cemre\türkçe\cemre.aydınlatmayı.opus
cemre.fanı	.opus	2.91	2025-01-06 03:53:24	softwareLogin\\media\cemre\türkçe\cemre.fanı.opus
cemre.iklimlendirmeyi	.opus	4.38	2025-01-06 03:53:24	softwareLogin\\media\cemre\türkçe\cemre.iklimlendirmeyi.opus
cemre.multimedyayı	.opus	3.82	2025-01-06 03:53:24	softwareLogin\\media\cemre\türkçe\cemre.multimedyayı.opus
cemre.odayı	.opus	2.89	2025-01-06 03:53:24	softwareLogin\\media\cemre\türkçe\cemre.odayı.opus
cemre.parlaklığı	.opus	4.09	2025-01-06 03:53:24	softwareLogin\\media\cemre\türkçe\cemre.parlaklığı.opus
cemre.sıcaklığı	.opus	3.25	2025-01-06 03:53:24	softwareLogin\\media\cemre\türkçe\cemre.sıcaklığı.opus
cemre.ısıtmayı	.opus	3.05	2025-01-06 03:53:24	softwareLogin\\media\cemre\türkçe\cemre.ısıtmayı.opus
cemre.ışığı	.opus	4.0	2025-01-06 03:53:24	softwareLogin\\media\cemre\türkçe\cemre.ışığı.opus
gülsüm.Air Conditioning	.opus	4.77	2025-01-06 03:53:24	softwareLogin\\media\gülsüm\ingilizce\gülsüm.Air Conditioning.opus
gülsüm.brightness	.opus	4.88	2025-01-06 03:53:24	softwareLogin\\media\gülsüm\ingilizce\gülsüm.brightness.opus
gülsüm.heating	.opus	3.95	2025-01-06 03:53:24	softwareLogin\\media\gülsüm\ingilizce\gülsüm.heating.opus
gülsüm.light	.opus	3.91	2025-01-06 03:53:24	softwareLogin\\media\gülsüm\ingilizce\gülsüm.light.opus
gülsüm.multimedia	.opus	4.87	2025-01-06 03:53:24	softwareLogin\\media\gülsüm\ingilizce\gülsüm.multimedia.opus
gülsüm.temperature	.opus	4.88	2025-01-06 03:53:24	softwareLogin\\media\gülsüm\ingilizce\gülsüm.temperature.opus
gülsüm.the alarm	.opus	3.52	2025-01-06 03:53:24	softwareLogin\\media\gülsüm\ingilizce\gülsüm.the alarm.opus
gülsüm.the fan	.opus	3.77	2025-01-06 03:53:24	softwareLogin\\media\gülsüm\ingilizce\gülsüm.the fan.opus
gülsüm.the lighting	.opus	4.09	2025-01-06 03:53:24	softwareLogin\\media\gülsüm\ingilizce\gülsüm.the lighting.opus
gülsüm.the room	.opus	3.68	2025-01-06 03:53:24	softwareLogin\\media\gülsüm\ingilizce\gülsüm.the room.opus
gülsüm.alarmı	.opus	4.82	2025-01-06 03:53:24	softwareLogin\\media\gülsüm\türkçe\gülsüm.alarmı.opus
gülsüm.aydınlatmayı	.opus	5.78	2025-01-06 03:53:24	softwareLogin\\media\gülsüm\türkçe\gülsüm.aydınlatmayı.opus
gülsüm.fanı	.opus	3.37	2025-01-06 03:53:24	softwareLogin\\media\gülsüm\türkçe\gülsüm.fanı.opus
